FisheryFineID,RegTypeID,Finescale_name,finescale_description,FisheryCoarseID,Coarse_description,ERA_fishery_id,ERA_fishery_name,country,fishery_type
3111,,TTAKU S,TAKU RIVER TERMINAL SPORT,125,Taku River Terminal Sport,69,TBR TERM S,US,terminal
3203,,TNORTH S,NORTH TERMINAL SPORT,130,North Terminal Sport,49,TNBC TERM S,Canada,terminal
3204,,TNORTH FS,NORTH FRESHWATER SPORT,131,North Freshwater Sport,70,TNORTH FS,Canada,terminal
3205,,CENTRAL S,CENTRAL SPORT,132,Central Sport,45,CBC S,Canada,pre-terminal
3206,,TCENTRAL S,CENTRAL TERMINAL SPORT,133,Central Terminal Sport,46,TCBC TERM S,Canada,terminal
3207,,TCENTRAL FS,CENTRAL FRESHWATER SPORT,134,Central Freshwater Sport,71,TCENTRAL FS,Canada,terminal
3210,,TNGS S,NORTH GEORGIA STRAIT TERMINAL SPORT,137,North Georgia Strait Terminal Sport,64,TGEO ST TERM S,Canada,terminal
3211,,TNGS FS,NORTH GEORGIA STRAIT FRESHWATER SPORT,138,North Georgia Strait Freshwater Sport,74,TGS FS,Canada,terminal
3213,,TSGS S,SOUTH GEORGIA STRAIT TERMINAL SPORT,140,South Georgia Strait Terminal Sport,64,TGEO ST TERM S,Canada,terminal
3214,,TSGS FS,SOUTH GEORGIA STRAIT FRESHWATER SPORT,141,South Georgia Strait Freshwater Sport,74,TGS FS,Canada,terminal
3217,,TWCVI S,WCVI TERMINAL SPORT,143,WCVI Terminal Sport,52,TWCVI TERM S,Canada,terminal
3218,,TWCVI FS,WCVI FRESHWATER SPORT,144,WCVI Freshwater Sport,72,TWCVI FS,Canada,terminal
3219,,TFRASER FS,FRASER FRESHWATER SPORT,145,Fraser Freshwater Sport,73,TFRASER FS,Canada,terminal
3221,,TCA JDF S,CANADIAN JUAN DE FUCA TERMINAL SPORT,147,Canadian Juan De Fuca Terminal Sport,66,TBC JF TERM S,Canada,terminal
3222,,TJOHN ST S,JOHNSTONE STRAIT TERMINAL SPORT,148,Johnstone Strait Terminal Sport,62,TJNST TERM S,Canada,terminal
3223,,TBC STI FS,BC TERMINAL STIKINE FRESHWATER SPORT,186,BC Taku Freshwater Sport,77,TCAN TBR N,Canada,terminal
3224,,TBC TAK FS,BC TERMINAL TAKU FRESHWATER SPORT,188,"BC Stikine Freshwater Sport
BC Stikine Freshwater Sport
BC Stikine Freshwater Sport
BC Stikine Freshwater Sport
BC Stikine Freshwater Sport
BC Stikine Freshwater Sport
BC Stikine Freshwater Sport",77,TCAN TBR N,Canada,terminal
3301,,TWA JDF S,WA JUAN DE FUCA FRESHWATER SPORT,149,Washington Juan De Fuca Freshwater Sport,75,TPS FS,US,terminal
3302,,5_S,WA JUAN DE FUCA (AREA 5) SPORT,150,Puget Sound Area 5 Sport,57,PGSDN S,US,pre-terminal
3303,,6_S,WA PS AREA 6 SPORT,151,Puget Sound Area 6 Sport,57,PGSDN S,US,pre-terminal
3305,,TNPS S,NORTH PUGET SOUND (AREA 5-7) TERMINAL SPORT,153,North Puget Sound (Area 5-7) Terminal Sport,58,TPGSDN TERM S,US,terminal
3307,,8-1_S,WA PS AREA 8-1 SPORT,155,Puget Sound Area 8-1 Sport,59,PGSDO S,US,pre-terminal
3309,,9_S,WA PS AREA 9 SPORT,157,Puget Sound Area 9 Sport,59,PGSDO S,US,pre-terminal
3312,,12_S,WA PS AREA 12 (HOOD CANAL) SPORT,159,Puget Sound Area 10 Sport,59,PGSDO S,US,pre-terminal
3313,,T12 S,WA PS AREA 12 (HOOD CANAL) TERMINAL SPORT,162,Puget Sound Area 12 Terminal Sport,60,TPGSDO TERM S,US,terminal
